Reference,Assembly,ASM-Caller,Setting,Refined,Caller,Support,MAPQ,TP-base,TP-comp,FP,FN,P,R,F1
chm13,hprc,svim-asm,Full,False,debreak,0,20,27,27,6,566,0.8181818181818182,0.045531197301854974,0.08626198083067094
chm13,hprc,svim-asm,strat-conf,False,debreak,0,20,27,27,4,197,0.8709677419354839,0.12053571428571429,0.21176470588235294
chm13,hprc,svim-asm,strat-lowcomplex,False,debreak,0,20,22,22,6,525,0.7857142857142857,0.04021937842778794,0.0765217391304348
chm13,hprc,svim-asm,strat-easy,False,debreak,0,20,7,7,0,48,1.0,0.12727272727272726,0.22580645161290322
chm13,hprc,svim-asm,Full,False,sniffles,0,20,28,28,7,565,0.8,0.047217537942664416,0.089171974522293
chm13,hprc,svim-asm,strat-conf,False,sniffles,0,20,27,27,6,197,0.8181818181818182,0.12053571428571429,0.2101167315175097
chm13,hprc,svim-asm,strat-lowcomplex,False,sniffles,0,20,23,23,7,524,0.7666666666666667,0.04204753199268738,0.07972270363951474
chm13,hprc,svim-asm,strat-easy,False,sniffles,0,20,7,7,0,48,1.0,0.12727272727272726,0.22580645161290322
chm13,hprc,dipcall,Full,False,debreak,0,20,29,27,6,248,0.8181818181818182,0.10469314079422383,0.1856330014224751
chm13,hprc,dipcall,strat-conf,False,debreak,0,20,29,27,4,230,0.8709677419354839,0.11196911196911197,0.19842878864673086
chm13,hprc,dipcall,strat-lowcomplex,False,debreak,0,20,23,22,6,213,0.7857142857142857,0.09745762711864407,0.1734064427690199
chm13,hprc,dipcall,strat-easy,False,debreak,0,20,7,7,0,37,1.0,0.1590909090909091,0.2745098039215686
chm13,hprc,dipcall,Full,False,sniffles,0,20,30,27,8,247,0.7714285714285715,0.10830324909747292,0.18994020400984873
chm13,hprc,dipcall,strat-conf,False,sniffles,0,20,30,27,6,229,0.8181818181818182,0.11583011583011583,0.20293122886133033
chm13,hprc,dipcall,strat-lowcomplex,False,sniffles,0,20,24,22,8,212,0.7333333333333333,0.1016949152542373,0.1786197564276049
chm13,hprc,dipcall,strat-easy,False,sniffles,0,20,7,7,0,37,1.0,0.1590909090909091,0.2745098039215686
chm13,hprc,hapdiff,Full,False,debreak,0,20,28,28,5,649,0.8484848484848485,0.0413589364844904,0.07887323943661971
chm13,hprc,hapdiff,strat-conf,False,debreak,0,20,28,28,5,234,0.8484848484848485,0.10687022900763359,0.18983050847457628
chm13,hprc,hapdiff,strat-lowcomplex,False,debreak,0,20,23,23,5,608,0.8214285714285714,0.03645007923930269,0.06980273141122913
chm13,hprc,hapdiff,strat-easy,False,debreak,0,20,7,7,0,47,1.0,0.12962962962962962,0.22950819672131148
chm13,hprc,hapdiff,Full,False,sniffles,0,20,29,29,6,648,0.8285714285714286,0.04283604135893648,0.08146067415730336
chm13,hprc,hapdiff,strat-conf,False,sniffles,0,20,29,29,6,233,0.8285714285714286,0.11068702290076336,0.19528619528619529
chm13,hprc,hapdiff,strat-lowcomplex,False,sniffles,0,20,24,24,6,607,0.8,0.03803486529318542,0.07261724659606657
chm13,hprc,hapdiff,strat-easy,False,sniffles,0,20,7,7,0,47,1.0,0.12962962962962962,0.22950819672131148
hg38,hprc,svim-asm,Full,False,debreak,0,20,29,29,5,469,0.8529411764705882,0.05823293172690763,0.10902255639097745
hg38,hprc,svim-asm,strat-conf,False,debreak,0,20,29,29,3,164,0.90625,0.15025906735751296,0.2577777777777778
hg38,hprc,svim-asm,strat-lowcomplex,False,debreak,0,20,24,23,4,403,0.8518518518518519,0.05620608899297424,0.10545419810870188
hg38,hprc,svim-asm,strat-easy,False,debreak,0,20,9,10,0,53,1.0,0.14516129032258066,0.2535211267605634
hg38,hprc,svim-asm,Full,False,sniffles,0,20,28,28,2,470,0.9333333333333333,0.05622489959839357,0.10606060606060605
hg38,hprc,svim-asm,strat-conf,False,sniffles,0,20,28,28,1,165,0.9655172413793104,0.14507772020725387,0.25225225225225223
hg38,hprc,svim-asm,strat-lowcomplex,False,sniffles,0,20,23,23,2,404,0.92,0.053864168618266976,0.10176991150442478
hg38,hprc,svim-asm,strat-easy,False,sniffles,0,20,9,9,0,53,1.0,0.14516129032258066,0.2535211267605634
hg38,hprc,dipcall,Full,False,debreak,0,20,31,29,5,188,0.8529411764705882,0.1415525114155251,0.24280891289669143
hg38,hprc,dipcall,strat-conf,False,debreak,0,20,31,29,3,182,0.90625,0.14553990610328638,0.25080206444413444
hg38,hprc,dipcall,strat-lowcomplex,False,debreak,0,20,26,23,4,147,0.8518518518518519,0.15028901734104047,0.2555009613330485
hg38,hprc,dipcall,strat-easy,False,debreak,0,20,9,10,0,39,1.0,0.1875,0.3157894736842105
hg38,hprc,dipcall,Full,False,sniffles,0,20,29,28,2,190,0.9333333333333333,0.1324200913242009,0.23193373321908026
hg38,hprc,dipcall,strat-conf,False,sniffles,0,20,29,28,1,184,0.9655172413793104,0.13615023474178403,0.23864805290227772
hg38,hprc,dipcall,strat-lowcomplex,False,sniffles,0,20,24,23,2,149,0.92,0.13872832369942195,0.24110067700371257
hg38,hprc,dipcall,strat-easy,False,sniffles,0,20,9,9,0,39,1.0,0.1875,0.3157894736842105
hg38,hprc,hapdiff,Full,False,debreak,0,20,28,28,6,445,0.8235294117647058,0.05919661733615222,0.11045364891518737
hg38,hprc,hapdiff,strat-conf,False,debreak,0,20,28,28,6,192,0.8235294117647058,0.12727272727272726,0.2204724409448819
hg38,hprc,hapdiff,strat-lowcomplex,False,debreak,0,20,23,22,5,386,0.8148148148148148,0.05623471882640587,0.10520844162594865
hg38,hprc,hapdiff,strat-easy,False,debreak,0,20,9,10,0,55,1.0,0.140625,0.2465753424657534
hg38,hprc,hapdiff,Full,False,sniffles,0,20,27,27,3,446,0.9,0.05708245243128964,0.10735586481113321
hg38,hprc,hapdiff,strat-conf,False,sniffles,0,20,27,27,3,193,0.9,0.12272727272727273,0.216
hg38,hprc,hapdiff,strat-lowcomplex,False,sniffles,0,20,22,22,3,387,0.88,0.05378973105134474,0.10138248847926266
hg38,hprc,hapdiff,strat-easy,False,sniffles,0,20,9,9,0,55,1.0,0.140625,0.2465753424657534
